Reference,Height,Width,StripHeight,,,,,,
1,4.37E+01,8.20E+01,100,,,,,,
2,2.13E+01,9.68E+01,,,,,,,
3,1.42E+01,7.84E+01,,,,,,,
4,3.51E+01,1.32E+01,,,,,,,
5,4.31E+00,7.84E+01,,,,,,,
6,3.96E+00,7.06E+01,,,,,,,
7,1.85E+01,1.41E+01,,,,,,,
8,2.51E+00,7.06E+01,,,,,,,
9,1.00E+02,1.72E+00,,,,,,,
10,1.71E+00,9.68E+01,,,,,,,
11,1.56E+00,9.68E+01,,,,,,,
12,1.00E+02,1.44E+00,,,,,,,
13,1.01E+01,1.26E+01,,,,,,,
14,8.56E+00,1.49E+01,,,,,,,
15,1.28E+00,9.68E+01,,,,,,,
16,2.54E+00,4.40E+01,,,,,,,
17,1.85E+01,4.35E+00,,,,,,,
18,1.14E+00,7.06E+01,,,,,,,
19,9.64E-01,8.32E+01,,,,,,,
20,8.46E-01,8.32E+01,,,,,,,
21,2.54E+00,2.66E+01,,,,,,,
22,6.52E+00,9.79E+00,,,,,,,
23,3.51E+01,1.63E+00,,,,,,,
24,5.44E+00,9.79E+00,,,,,,,
25,1.20E+01,3.84E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
