Reference,Height,Width,StripHeight,
1,8.12E+01,3.13E+01,100,
2,9.58E+01,1.45E+01,,
3,7.07E+01,1.60E+01,,
4,5.26E+01,1.68E+01,,
5,2.48E+01,3.30E+01,,
6,2.52E+01,1.60E+01,,
7,9.93E+00,3.24E+01,,
8,2.21E+01,1.23E+01,,
9,1.99E+01,1.23E+01,,
10,9.30E+00,2.53E+01,,
11,3.49E+00,6.70E+01,,
12,6.03E+01,3.86E+00,,
13,1.83E+01,1.23E+01,,
14,4.39E+01,4.18E+00,,
15,5.69E+00,2.53E+01,,
16,3.15E+01,4.18E+00,,
17,7.66E+00,1.68E+01,,
18,3.01E+00,3.24E+01,,
19,8.12E+01,1.09E+00,,
20,9.14E+00,7.69E+00,,
21,1.69E+00,3.24E+01,,
22,2.04E+01,2.37E+00,,
23,6.82E-01,6.70E+01,,
24,5.85E+00,7.69E+00,,
25,2.04E+01,1.81E+00,,
