Reference,Height,Width,StripHeight,
1,6.07E+01,6.99E+01,100,
2,3.69E+01,6.99E+01,,
3,3.66E+01,1.36E+01,,
4,1.61E+01,2.08E+01,,
5,4.15E+01,7.19E+00,,
6,3.51E+01,8.20E+00,,
7,2.01E+01,1.39E+01,,
8,2.31E+01,8.20E+00,,
9,2.01E+01,6.92E+00,,
10,2.95E+01,4.66E+00,,
11,2.95E+01,3.53E+00,,
12,4.21E+00,2.08E+01,,
13,9.94E+00,8.20E+00,,
14,3.72E+00,2.08E+01,,
15,6.17E+00,1.25E+01,,
16,1.54E+00,4.75E+01,,
17,3.42E+00,2.08E+01,,
18,8.50E-01,7.92E+01,,
19,4.88E+00,1.36E+01,,
20,5.26E+01,1.12E+00,,
21,2.47E+00,2.08E+01,,
22,6.17E+00,8.31E+00,,
23,4.50E+01,1.12E+00,,
24,2.41E+00,2.08E+01,,
25,1.54E+00,3.17E+01,,
