reference,height,width,stripwidth,
1,3.31E+01,6.20E+01,100,
2,4.42E+01,3.05E+01,,
3,4.23E+01,3.01E+01,,
4,8.53E+01,7.11E+00,,
5,1.65E+01,3.05E+01,,
6,1.84E+01,1.77E+01,,
7,5.80E+01,5.39E+00,,
8,8.53E+01,3.21E+00,,
9,4.37E+01,5.18E+00,,
10,1.84E+01,1.18E+01,,
11,3.37E+00,6.20E+01,,
12,8.53E+01,2.35E+00,,
13,2.85E+00,6.20E+01,,
14,6.17E+00,2.78E+01,,
15,8.53E+01,1.90E+00,,
16,5.35E+01,2.86E+00,,
17,2.74E+01,5.39E+00,,
18,3.18E+01,4.49E+00,,
19,5.78E+01,2.16E+00,,
20,8.53E+01,1.12E+00,,
21,4.22E+01,2.16E+00,,
22,2.95E+01,2.97E+00,,
23,5.35E+01,1.63E+00,,
24,4.69E+00,1.57E+01,,
25,2.95E+01,2.21E+00,,
26,3.86E+01,1.38E+00,,
27,1.01E+01,5.18E+00,,
28,2.46E+00,2.09E+01,,
29,2.97E+01,1.60E+00,,
30,2.84E+01,1.60E+00,,
31,1.90E+01,2.34E+00,,
32,8.09E+00,5.18E+00,,
33,2.52E+01,1.60E+00,,
34,3.86E+01,9.68E-01,,
35,1.67E+01,2.23E+00,,
36,1.84E+01,1.99E+00,,
37,4.75E+01,7.09E-01,,
38,1.40E+01,2.34E+00,,
39,2.37E+01,1.35E+00,,
40,4.39E+01,6.99E-01,,
41,1.67E+01,1.72E+00,,
42,1.35E+00,2.11E+01,,
43,1.17E+01,2.34E+00,,
44,2.46E+00,1.11E+01,,
45,6.01E+00,4.49E+00,,
46,6.17E+00,4.15E+00,,
47,4.69E+00,5.41E+00,,
48,1.86E+01,1.35E+00,,
49,4.75E+01,4.89E-01,,
50,4.39E+01,4.99E-01,,
