Reference,Height,Width,StripHeight,
1,6.85E+01,5.32E+01,100,
2,7.61E+01,4.08E+01,,
3,1.85E+01,3.95E+01,,
4,1.27E+01,3.04E+01,,
5,2.92E+01,7.96E+00,,
6,1.07E+01,2.00E+01,,
7,7.48E+00,2.70E+01,,
8,3.28E+01,6.07E+00,,
9,2.80E+01,6.07E+00,,
10,8.70E+00,1.95E+01,,
11,9.68E+00,1.18E+01,,
12,3.69E+00,3.04E+01,,
13,7.48E+00,1.38E+01,,
14,1.36E+00,5.92E+01,,
15,1.06E+01,6.97E+00,,
16,5.12E+00,1.18E+01,,
17,5.76E+00,1.04E+01,,
18,8.29E+00,6.26E+00,,
19,8.54E-01,5.92E+01,,
20,7.71E+00,6.07E+00,,
21,7.42E+00,5.54E+00,,
22,2.00E+00,1.95E+01,,
23,7.01E+00,5.54E+00,,
24,6.14E+00,6.26E+00,,
25,1.06E+01,3.43E+00,,
