Rererence,Height,Width,StripWidth,,,,,,
1,1.85E+01,3.14E+01,100,,,,,,
2,2.92E+01,1.75E+01,,,,,,,
3,1.31E+01,3.29E+01,,,,,,,
4,4.43E+01,7.01E+00,,,,,,,
5,2.67E+01,1.12E+01,,,,,,,
6,2.23E+01,1.00E+01,,,,,,,
7,2.86E+01,7.15E+00,,,,,,,
8,7.39E+00,2.28E+01,,,,,,,
9,7.01E+00,2.13E+01,,,,,,,
10,1.04E+01,1.27E+01,,,,,,,
11,3.44E+00,3.29E+01,,,,,,,
12,4.97E+01,2.01E+00,,,,,,,
13,5.12E+00,1.94E+01,,,,,,,
14,3.50E+01,2.80E+00,,,,,,,
15,3.30E+01,2.80E+00,,,,,,,
16,1.04E+01,8.65E+00,,,,,,,
17,2.57E+01,3.18E+00,,,,,,,
18,1.65E+01,4.84E+00,,,,,,,
19,2.57E+01,2.62E+00,,,,,,,
20,5.33E+00,1.16E+01,,,,,,,
21,2.10E+00,2.82E+01,,,,,,,
22,2.10E+00,2.82E+01,,,,,,,
23,1.98E+01,2.98E+00,,,,,,,
24,2.60E+01,2.28E+00,,,,,,,
25,1.73E+01,3.34E+00,,,,,,,
26,4.79E+00,1.12E+01,,,,,,,
27,4.21E+00,1.26E+01,,,,,,,
28,8.93E+00,5.90E+00,,,,,,,
29,4.27E+00,1.21E+01,,,,,,,
30,4.23E+01,1.11E+00,,,,,,,
31,2.38E+01,1.96E+00,,,,,,,
32,4.89E+00,9.34E+00,,,,,,,
33,1.14E+01,3.96E+00,,,,,,,
34,1.34E+00,3.29E+01,,,,,,,
35,4.97E+01,8.76E-01,,,,,,,
36,1.31E+00,3.29E+01,,,,,,,
37,8.27E+00,5.15E+00,,,,,,,
38,5.67E+00,7.45E+00,,,,,,,
39,1.17E+00,3.60E+01,,,,,,,
40,4.03E+01,1.01E+00,,,,,,,
41,7.82E+00,5.18E+00,,,,,,,
42,2.86E+00,1.40E+01,,,,,,,
43,8.46E+00,4.73E+00,,,,,,,
44,4.21E+00,9.41E+00,,,,,,,
45,1.20E+00,3.25E+01,,,,,,,
46,5.05E+00,7.49E+00,,,,,,,
47,1.35E+01,2.80E+00,,,,,,,
48,1.90E+00,1.94E+01,,,,,,,
49,4.08E+01,8.82E-01,,,,,,,
50,8.15E+00,4.40E+00,,,,,,,
51,5.55E+00,6.33E+00,,,,,,,
52,3.15E+00,1.11E+01,,,,,,,
53,5.57E+00,6.08E+00,,,,,,,
54,9.95E+00,3.39E+00,,,,,,,
55,3.49E+00,9.22E+00,,,,,,,
56,4.03E+01,7.97E-01,,,,,,,
57,3.39E+01,9.35E-01,,,,,,,
58,2.59E+00,1.16E+01,,,,,,,
59,1.90E+00,1.55E+01,,,,,,,
60,2.14E+00,1.36E+01,,,,,,,
61,1.28E+01,2.28E+00,,,,,,,
62,2.50E+00,1.16E+01,,,,,,,
63,3.81E+01,7.54E-01,,,,,,,
64,1.71E+01,1.68E+00,,,,,,,
65,5.16E+00,5.48E+00,,,,,,,
66,1.32E+01,2.07E+00,,,,,,,
67,5.24E+00,4.95E+00,,,,,,,
68,9.87E+00,2.62E+00,,,,,,,
69,5.05E+00,5.10E+00,,,,,,,
70,1.30E+01,1.88E+00,,,,,,,
71,9.47E+00,2.53E+00,,,,,,,
72,2.71E+01,8.80E-01,,,,,,,
73,6.89E+00,3.45E+00,,,,,,,
74,4.31E+00,5.48E+00,,,,,,,
75,5.67E+00,4.13E+00,,,,,,,
76,1.73E+01,1.31E+00,,,,,,,
77,1.49E+00,1.51E+01,,,,,,,
78,1.86E+01,1.21E+00,,,,,,,
79,4.70E+00,4.73E+00,,,,,,,
80,2.61E+01,8.41E-01,,,,,,,
81,2.38E+01,8.98E-01,,,,,,,
82,2.90E+01,7.19E-01,,,,,,,
83,4.43E+01,4.65E-01,,,,,,,
84,4.31E+00,4.73E+00,,,,,,,
85,4.31E+00,4.73E+00,,,,,,,
86,1.12E+00,1.82E+01,,,,,,,
87,1.17E+00,1.72E+01,,,,,,,
88,1.69E+01,1.11E+00,,,,,,,
89,1.84E+01,1.02E+00,,,,,,,
90,2.17E+00,8.60E+00,,,,,,,
91,7.28E+00,2.54E+00,,,,,,,
92,5.37E+00,3.38E+00,,,,,,,
93,1.44E+01,1.26E+00,,,,,,,
94,2.24E+01,7.86E-01,,,,,,,
95,4.19E+01,4.19E-01,,,,,,,
96,1.96E+00,8.86E+00,,,,,,,
97,1.13E+00,1.51E+01,,,,,,,
98,5.41E-01,3.12E+01,,,,,,,
99,9.18E+00,1.81E+00,,,,,,,
100,4.11E+00,3.97E+00,,,,,,,
101,1.40E+00,1.11E+01,,,,,,,
102,5.28E+00,2.93E+00,,,,,,,
103,1.56E+01,9.81E-01,,,,,,,
104,3.21E+00,4.72E+00,,,,,,,
105,2.17E+00,7.01E+00,,,,,,,
106,1.30E+00,1.16E+01,,,,,,,
107,1.12E+00,1.34E+01,,,,,,,
108,1.42E+00,1.05E+01,,,,,,,
109,1.84E+01,7.99E-01,,,,,,,
110,3.20E+00,4.54E+00,,,,,,,
111,6.21E+00,2.33E+00,,,,,,,
112,9.51E-01,1.51E+01,,,,,,,
113,2.57E+01,5.55E-01,,,,,,,
114,8.93E+00,1.57E+00,,,,,,,
115,6.11E-01,2.28E+01,,,,,,,
116,1.28E+00,1.08E+01,,,,,,,
117,1.59E+00,8.60E+00,,,,,,,
118,1.58E+01,8.59E-01,,,,,,,
119,2.72E+00,4.95E+00,,,,,,,
120,1.57E+00,8.56E+00,,,,,,,
121,1.56E+00,8.56E+00,,,,,,,
122,1.70E+00,7.83E+00,,,,,,,
123,1.52E+00,8.80E+00,,,,,,,
124,3.11E+01,4.26E-01,,,,,,,
125,1.88E+00,7.05E+00,,,,,,,
126,7.35E+00,1.80E+00,,,,,,,
127,2.92E+01,4.52E-01,,,,,,,
128,3.52E+00,3.72E+00,,,,,,,
129,2.25E+01,5.81E-01,,,,,,,
130,3.39E+01,3.84E-01,,,,,,,
131,2.92E+01,4.43E-01,,,,,,,
132,3.72E+00,3.47E+00,,,,,,,
133,2.55E+01,5.04E-01,,,,,,,
134,2.43E+00,5.20E+00,,,,,,,
135,2.38E+01,5.28E-01,,,,,,,
136,7.90E-01,1.58E+01,,,,,,,
137,6.81E+00,1.82E+00,,,,,,,
