Reference,Height,Width,StripHeight,,,,,,
1,5.68E+01,4.09E+01,100,,,,,,
2,5.43E+01,3.53E+01,,,,,,,
3,8.76E+01,1.87E+01,,,,,,,
4,3.09E+01,4.09E+01,,,,,,,
5,2.59E+01,2.92E+01,,,,,,,
6,1.24E+01,2.90E+01,,,,,,,
7,8.61E+00,3.57E+01,,,,,,,
8,8.76E+01,3.43E+00,,,,,,,
9,2.59E+01,6.11E+00,,,,,,,
10,1.22E+01,1.02E+01,,,,,,,
11,6.30E+01,1.73E+00,,,,,,,
12,3.02E+00,3.53E+01,,,,,,,
13,1.22E+01,7.13E+00,,,,,,,
14,1.22E+01,6.18E+00,,,,,,,
15,3.74E+00,1.80E+01,,,,,,,
16,3.74E+00,1.77E+01,,,,,,,
17,1.22E+01,4.40E+00,,,,,,,
18,1.44E+00,3.53E+01,,,,,,,
19,1.25E+00,3.53E+01,,,,,,,
20,2.46E+01,1.73E+00,,,,,,,
21,1.84E+00,2.27E+01,,,,,,,
22,1.22E+01,2.93E+00,,,,,,,
23,1.22E+01,2.36E+00,,,,,,,
24,1.22E+01,2.07E+00,,,,,,,
25,1.84E+00,1.26E+01,,,,,,,
,,,,,,,,,
,,,,,,,,,
