Reference,Height,Width,Stripwidth,,,,,,
1,3.17E+01,4.09E+01,100,,,,,,
2,5.43E+01,2.14E+01,,,,,,,
3,2.51E+01,3.04E+01,,,,,,,
4,3.09E+01,1.99E+01,,,,,,,
5,2.59E+01,1.89E+01,,,,,,,
6,4.13E+01,1.01E+01,,,,,,,
7,7.99E+01,4.82E+00,,,,,,,
8,7.96E+01,4.64E+00,,,,,,,
9,7.99E+01,4.62E+00,,,,,,,
10,1.68E+01,2.10E+01,,,,,,,
11,1.24E+01,2.62E+01,,,,,,,
12,1.41E+01,2.10E+01,,,,,,,
13,5.43E+01,3.81E+00,,,,,,,
14,1.58E+01,1.05E+01,,,,,,,
15,8.61E+00,1.86E+01,,,,,,,
16,1.30E+01,1.01E+01,,,,,,,
17,4.83E+01,2.44E+00,,,,,,,
18,8.61E+00,1.03E+01,,,,,,,
19,7.96E+01,1.03E+00,,,,,,,
20,3.55E+01,2.12E+00,,,,,,,
21,2.59E+01,2.64E+00,,,,,,,
22,1.77E+01,3.86E+00,,,,,,,
23,6.43E+00,1.05E+01,,,,,,,
24,1.22E+01,5.35E+00,,,,,,,
25,3.93E+01,1.49E+00,,,,,,,
26,5.18E+01,1.10E+00,,,,,,,
27,3.93E+01,1.44E+00,,,,,,,
28,2.29E+01,2.44E+00,,,,,,,
29,2.59E+01,2.14E+00,,,,,,,
30,5.76E+00,8.45E+00,,,,,,,
31,7.70E+00,6.18E+00,,,,,,,
32,2.35E+00,1.77E+01,,,,,,,
33,3.74E+01,1.09E+00,,,,,,,
34,1.65E+01,2.44E+00,,,,,,,
35,6.30E+01,6.37E-01,,,,,,,
36,1.77E+01,2.25E+00,,,,,,,
37,3.58E+01,1.10E+00,,,,,,,
38,2.59E+01,1.43E+00,,,,,,,
39,1.22E+01,2.93E+00,,,,,,,
40,2.59E+01,1.18E+00,,,,,,,
41,2.81E+00,1.05E+01,,,,,,,
42,4.60E+00,6.11E+00,,,,,,,
43,8.61E+00,3.24E+00,,,,,,,
44,1.84E+00,1.45E+01,,,,,,,
45,8.09E+00,3.30E+00,,,,,,,
46,1.44E+00,1.82E+01,,,,,,,
47,1.44E+00,1.80E+01,,,,,,,
48,7.25E-01,3.53E+01,,,,,,,
49,2.30E+00,1.11E+01,,,,,,,
50,1.22E+01,2.07E+00,,,,,,,
51,1.44E+00,1.72E+01,,,,,,,
52,3.55E+01,6.95E-01,,,,,,,
53,4.71E+00,5.22E+00,,,,,,,
54,1.39E+00,1.77E+01,,,,,,,
55,1.84E+00,1.26E+01,,,,,,,
56,1.31E+01,1.73E+00,,,,,,,
57,6.48E+00,3.49E+00,,,,,,,
58,1.25E+00,1.79E+01,,,,,,,
59,3.60E+00,6.11E+00,,,,,,,
60,1.22E+01,1.79E+00,,,,,,,
61,3.55E+01,6.13E-01,,,,,,,
62,1.22E+01,1.78E+00,,,,,,,
63,1.25E+00,1.74E+01,,,,,,,
64,1.24E+01,1.72E+00,,,,,,,
65,1.47E+00,1.38E+01,,,,,,,
66,1.15E+01,1.73E+00,,,,,,,
67,3.93E+01,4.93E-01,,,,,,,
68,8.09E+00,2.38E+00,,,,,,,
69,7.75E+00,2.26E+00,,,,,,,
70,6.48E+00,2.66E+00,,,,,,,
71,8.61E+00,1.99E+00,,,,,,,
72,2.59E+01,6.33E-01,,,,,,,
73,2.59E+01,6.23E-01,,,,,,,
74,2.30E+00,6.95E+00,,,,,,,
75,3.04E+00,5.22E+00,,,,,,,
76,8.74E+00,1.81E+00,,,,,,,
77,1.47E+00,1.08E+01,,,,,,,
78,1.47E+00,1.07E+01,,,,,,,
79,2.59E+01,5.93E-01,,,,,,,
80,7.75E+00,1.95E+00,,,,,,,
81,1.84E+00,8.19E+00,,,,,,,
82,2.42E+00,6.18E+00,,,,,,,
83,6.48E+00,2.30E+00,,,,,,,
84,4.23E-01,3.53E+01,,,,,,,
85,1.22E+01,1.18E+00,,,,,,,
86,1.22E+01,1.18E+00,,,,,,,
87,1.22E+01,1.17E+00,,,,,,,
88,2.59E+01,5.47E-01,,,,,,,
89,2.59E+01,5.47E-01,,,,,,,
90,4.01E-01,3.53E+01,,,,,,,
91,8.74E+00,1.61E+00,,,,,,,
92,1.29E+01,1.09E+00,,,,,,,
93,4.08E+00,3.43E+00,,,,,,,
94,1.27E+01,1.09E+00,,,,,,,
95,8.61E+00,1.60E+00,,,,,,,
96,1.22E+01,1.09E+00,,,,,,,
97,1.22E+01,1.07E+00,,,,,,,
98,2.12E+00,6.18E+00,,,,,,,
99,1.22E+01,1.07E+00,,,,,,,
100,1.24E+01,1.05E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
