Reference,Height,Width,StripHeight,
1,8.71E+01,4.96E+01,100,
2,5.28E+01,1.98E+01,,
3,8.71E+01,8.13E+00,,
4,6.73E+01,8.53E+00,,
5,2.43E+01,2.17E+01,,
6,1.90E+01,2.17E+01,,
7,2.50E+01,1.60E+01,,
8,1.29E+01,3.08E+01,,
9,5.09E+01,5.33E+00,,
10,7.52E+01,2.48E+00,,
11,5.09E+01,2.13E+00,,
12,7.49E+00,1.44E+01,,
13,8.25E+00,1.25E+01,,
14,1.00E+02,1.02E+00,,
15,5.28E+01,1.90E+00,,
16,3.96E+00,2.17E+01,,
17,5.41E+00,1.44E+01,,
18,1.64E+01,4.40E+00,,
19,4.07E+00,1.60E+01,,
20,2.48E+01,2.48E+00,,
21,4.66E+00,1.25E+01,,
22,3.62E+00,1.60E+01,,
23,5.18E+01,1.09E+00,,
24,4.82E+01,1.09E+00,,
25,1.64E+01,3.06E+00,,
