Reference,Height,Width,StripHeight,,,,,,
1,6.23E+01,7.39E+01,100,,,,,,
2,1.00E+02,1.09E+01,,,,,,,
3,1.00E+02,5.99E+00,,,,,,,
4,1.66E+01,3.10E+01,,,,,,,
5,5.58E+01,9.17E+00,,,,,,,
6,1.33E+01,3.58E+01,,,,,,,
7,1.66E+01,2.18E+01,,,,,,,
8,7.28E+00,3.04E+01,,,,,,,
9,9.36E+00,2.24E+01,,,,,,,
10,5.40E+00,3.58E+01,,,,,,,
11,3.96E+00,4.04E+01,,,,,,,
12,5.08E+00,2.45E+01,,,,,,,
13,5.86E+00,1.53E+01,,,,,,,
14,5.86E+00,1.51E+01,,,,,,,
15,2.40E+00,3.58E+01,,,,,,,
16,1.14E+01,6.92E+00,,,,,,,
17,7.95E+00,9.43E+00,,,,,,,
18,9.36E+00,7.98E+00,,,,,,,
19,1.83E+00,4.04E+01,,,,,,,
20,2.87E+00,2.45E+01,,,,,,,
21,9.75E+00,6.92E+00,,,,,,,
22,1.51E+00,4.04E+01,,,,,,,
23,6.43E+00,9.17E+00,,,,,,,
24,5.86E+00,1.01E+01,,,,,,,
25,7.95E+00,6.53E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
