Reference,Height,Width,StripHeight,,,,,,,
1,3.60E+01,5.45E+01,100,,,,,,,
2,1.00E+02,1.67E+01,,,,,,,,
3,1.00E+02,1.27E+01,,,,,,,,
4,1.49E+01,4.89E+01,,,,,,,,
5,6.17E+01,1.10E+01,,,,,,,,
6,3.08E+01,2.07E+01,,,,,,,,
7,1.00E+02,5.07E+00,,,,,,,,
8,2.07E+01,2.13E+01,,,,,,,,
9,3.83E+01,1.10E+01,,,,,,,,
10,7.65E+00,5.45E+01,,,,,,,,
11,3.84E+00,5.45E+01,,,,,,,,
12,3.74E+00,5.45E+01,,,,,,,,
13,1.01E+01,1.52E+01,,,,,,,,
14,2.06E+01,5.91E+00,,,,,,,,
15,1.01E+01,9.29E+00,,,,,,,,
16,1.68E+00,5.45E+01,,,,,,,,
17,1.32E+00,5.45E+01,,,,,,,,
18,1.02E+01,5.91E+00,,,,,,,,
19,1.49E+01,3.05E+00,,,,,,,,
20,3.08E+01,1.35E+00,,,,,,,,
21,1.49E+01,2.54E+00,,,,,,,,
22,2.07E+01,1.72E+00,,,,,,,,
23,3.08E+01,1.03E+00,,,,,,,,
24,3.08E+01,1.02E+00,,,,,,,,
25,2.07E+01,1.41E+00,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
