Reference,Height,Width,StripHeight,
1,1.00E+02,6.14E+01,100,
2,3.97E+01,3.19E+01,,
3,2.93E+01,1.04E+01,,
4,1.98E+01,1.04E+01,,
5,2.68E+01,5.48E+00,,
6,4.90E+01,2.91E+00,,
7,2.49E+01,5.49E+00,,
8,3.88E+00,3.19E+01,,
9,2.22E+01,5.48E+00,,
10,1.26E+01,8.84E+00,,
11,7.89E+01,1.41E+00,,
12,7.89E+01,1.38E+00,,
13,1.16E+01,8.84E+00,,
14,2.11E+01,4.87E+00,,
15,5.16E+01,1.87E+00,,
16,4.42E+01,2.08E+00,,
17,4.84E+01,1.87E+00,,
18,2.62E+00,3.19E+01,,
19,2.49E+01,3.35E+00,,
20,4.72E+00,1.67E+01,,
21,4.90E+01,1.54E+00,,
22,3.47E+01,2.08E+00,,
23,4.72E+00,1.52E+01,,
24,4.90E+01,1.44E+00,,
25,4.90E+01,1.28E+00,,
