Rererence,Height,Width,StripWidth,,,,,,
1,2.43E+01,1.76E+01,100,,,,,,
2,6.34E+01,5.92E+00,,,,,,,
3,2.15E+01,1.65E+01,,,,,,,
4,7.95E+00,3.78E+01,,,,,,,
5,1.54E+01,1.87E+01,,,,,,,
6,1.25E+01,1.87E+01,,,,,,,
7,5.53E+00,3.78E+01,,,,,,,
8,1.06E+01,1.62E+01,,,,,,,
9,1.30E+01,1.31E+01,,,,,,,
10,2.80E+01,5.92E+00,,,,,,,
11,1.45E+01,8.86E+00,,,,,,,
12,4.69E+00,2.47E+01,,,,,,,
13,2.32E+01,4.29E+00,,,,,,,
14,2.64E+00,3.45E+01,,,,,,,
15,8.73E+00,1.04E+01,,,,,,,
16,6.65E+00,1.31E+01,,,,,,,
17,6.37E+00,1.36E+01,,,,,,,
18,7.03E+00,1.22E+01,,,,,,,
19,2.24E+00,3.81E+01,,,,,,,
20,5.67E+00,1.50E+01,,,,,,,
21,7.80E+00,1.07E+01,,,,,,,
22,2.29E+00,3.57E+01,,,,,,,
23,9.59E+00,8.39E+00,,,,,,,
24,2.68E+01,2.83E+00,,,,,,,
25,2.32E+01,2.94E+00,,,,,,,
26,3.54E+00,1.87E+01,,,,,,,
27,2.13E+01,3.06E+00,,,,,,,
28,7.77E+00,8.39E+00,,,,,,,
29,2.00E+01,3.06E+00,,,,,,,
30,3.66E+00,1.65E+01,,,,,,,
31,2.94E+00,1.92E+01,,,,,,,
32,3.40E+00,1.62E+01,,,,,,,
33,5.48E+00,9.93E+00,,,,,,,
34,4.13E+01,1.19E+00,,,,,,,
35,1.13E+01,4.27E+00,,,,,,,
36,6.72E+00,6.92E+00,,,,,,,
37,3.26E+01,1.38E+00,,,,,,,
38,2.04E+00,2.17E+01,,,,,,,
39,4.12E+00,1.04E+01,,,,,,,
40,7.90E+00,5.23E+00,,,,,,,
41,1.02E+00,3.87E+01,,,,,,,
42,3.59E+00,1.09E+01,,,,,,,
43,2.57E+01,1.51E+00,,,,,,,
44,8.69E-01,4.42E+01,,,,,,,
45,4.56E+01,8.38E-01,,,,,,,
46,3.85E+00,9.93E+00,,,,,,,
47,2.74E+00,1.36E+01,,,,,,,
48,4.48E+01,8.25E-01,,,,,,,
49,7.57E+00,4.75E+00,,,,,,,
50,2.82E+01,1.27E+00,,,,,,,
51,1.33E+00,2.69E+01,,,,,,,
52,1.13E+01,2.97E+00,,,,,,,
53,9.08E-01,3.57E+01,,,,,,,
54,2.38E+01,1.29E+00,,,,,,,
55,2.93E+00,1.04E+01,,,,,,,
56,5.50E+00,5.53E+00,,,,,,,
57,3.71E+00,7.96E+00,,,,,,,
58,2.13E+00,1.36E+01,,,,,,,
59,3.24E+00,8.91E+00,,,,,,,
60,4.14E+00,6.85E+00,,,,,,,
61,4.14E+00,6.78E+00,,,,,,,
62,3.59E+00,7.79E+00,,,,,,,
63,1.37E+01,2.04E+00,,,,,,,
64,2.66E+00,1.04E+01,,,,,,,
65,1.37E+00,1.99E+01,,,,,,,
66,8.62E+00,3.13E+00,,,,,,,
67,4.99E+00,5.25E+00,,,,,,,
68,1.54E+01,1.63E+00,,,,,,,
69,1.33E+00,1.87E+01,,,,,,,
70,8.36E+00,2.94E+00,,,,,,,
71,9.33E+00,2.61E+00,,,,,,,
72,5.80E-01,4.16E+01,,,,,,,
73,1.97E+01,1.22E+00,,,,,,,
74,3.47E+00,6.92E+00,,,,,,,
75,1.97E+01,1.22E+00,,,,,,,
76,9.25E+00,2.55E+00,,,,,,,
77,1.79E+00,1.29E+01,,,,,,,
78,3.36E+00,6.83E+00,,,,,,,
79,1.78E+01,1.28E+00,,,,,,,
80,7.90E+00,2.88E+00,,,,,,,
81,9.45E-01,2.39E+01,,,,,,,
82,7.90E+00,2.85E+00,,,,,,,
83,1.04E+01,2.09E+00,,,,,,,
84,1.54E+01,1.39E+00,,,,,,,
85,4.44E+00,4.75E+00,,,,,,,
86,2.36E+00,8.86E+00,,,,,,,
87,1.38E+01,1.51E+00,,,,,,,
88,1.58E+00,1.31E+01,,,,,,,
89,5.40E+00,3.84E+00,,,,,,,
90,1.01E+01,2.04E+00,,,,,,,
91,3.31E+00,6.23E+00,,,,,,,
92,7.90E+00,2.56E+00,,,,,,,
93,1.87E+01,1.07E+00,,,,,,,
94,3.88E+01,5.13E-01,,,,,,,
95,3.19E+00,6.23E+00,,,,,,,
96,2.50E+01,7.86E-01,,,,,,,
97,1.08E+01,1.81E+00,,,,,,,
98,1.59E+00,1.22E+01,,,,,,,
99,2.83E+00,6.83E+00,,,,,,,
100,5.87E+00,3.29E+00,,,,,,,
101,2.78E+01,6.92E-01,,,,,,,
102,8.62E+00,2.21E+00,,,,,,,
103,2.26E+00,8.43E+00,,,,,,,
104,1.38E+00,1.37E+01,,,,,,,
105,4.56E-01,4.16E+01,,,,,,,
106,1.58E+00,1.19E+01,,,,,,,
107,1.43E+01,1.28E+00,,,,,,,
108,1.87E+01,9.50E-01,,,,,,,
109,2.34E+01,7.54E-01,,,,,,,
110,4.37E+00,4.02E+00,,,,,,,
111,2.78E+00,6.23E+00,,,,,,,
112,4.65E+00,3.72E+00,,,,,,,
113,1.98E+00,8.63E+00,,,,,,,
114,2.15E+01,7.96E-01,,,,,,,
115,2.46E+00,6.83E+00,,,,,,,
116,8.98E+00,1.87E+00,,,,,,,
117,2.78E+01,6.00E-01,,,,,,,
118,2.59E+00,6.41E+00,,,,,,,
119,1.71E+00,9.44E+00,,,,,,,
120,3.20E+01,4.94E-01,,,,,,,
121,2.42E+01,6.51E-01,,,,,,,
122,9.33E+00,1.67E+00,,,,,,,
123,2.81E+00,5.42E+00,,,,,,,
124,1.79E+00,8.44E+00,,,,,,,
