Reference,Height,Width,StripHeight,
1,1.00E+02,2.64E+01,100,
2,7.29E+01,1.98E+01,,
3,5.55E+01,2.59E+01,,
4,3.84E+01,3.05E+01,,
5,6.50E+01,8.86E+00,,
6,2.05E+01,1.98E+01,,
7,3.50E+01,8.86E+00,,
8,5.75E+01,4.98E+00,,
9,6.16E+01,4.62E+00,,
10,3.13E+01,8.91E+00,,
11,6.36E+01,3.44E+00,,
12,6.09E+00,2.59E+01,,
13,1.00E+02,1.39E+00,,
14,6.65E+00,1.98E+01,,
15,3.64E+01,1.93E+00,,
16,2.30E+01,2.50E+00,,
17,6.38E+00,8.91E+00,,
18,3.64E+01,1.47E+00,,
19,2.04E+01,2.50E+00,,
20,6.36E+01,7.18E-01,,
21,4.79E+00,8.91E+00,,
22,2.88E+01,1.44E+00,,
23,2.87E+01,1.44E+00,,
24,1.41E+01,2.50E+00,,
25,3.64E+01,7.53E-01,,
