Reference,Height,Width,StripHeight,
1,5.88E+01,3.66E+01,100,
2,4.05E+01,3.29E+01,,
3,2.92E+01,3.62E+01,,
4,4.12E+01,2.23E+01,,
5,1.99E+01,3.29E+01,,
6,2.92E+01,2.07E+01,,
7,2.57E+01,1.94E+01,,
8,2.41E+01,1.94E+01,,
9,4.12E+01,8.56E+00,,
10,5.37E+00,5.69E+01,,
11,6.04E+01,3.38E+00,,
12,4.12E+01,4.84E+00,,
13,4.25E+00,4.64E+01,,
14,8.33E+01,2.28E+00,,
15,8.36E+01,1.82E+00,,
16,1.06E+01,1.40E+01,,
17,8.36E+01,1.35E+00,,
18,1.00E+02,1.11E+00,,
19,6.04E+01,1.19E+00,,
20,1.06E+01,5.45E+00,,
21,1.64E+01,3.18E+00,,
22,7.90E-01,5.69E+01,,
23,4.25E+00,1.05E+01,,
24,1.67E+01,2.28E+00,,
25,4.12E+01,8.66E-01,,
