reference,height,width,stripwidth,,,,,,
1,4.12E+01,3.08E+01,100,,,,,,
2,2.16E+01,4.79E+01,,,,,,,
3,1.82E+01,4.79E+01,,,,,,,
4,2.06E+01,4.18E+01,,,,,,,
5,1.78E+01,4.79E+01,,,,,,,
6,1.94E+01,3.93E+01,,,,,,,
7,6.20E+01,1.10E+01,,,,,,,
8,1.05E+01,4.79E+01,,,,,,,
9,9.01E+00,4.79E+01,,,,,,,
10,1.39E+01,3.08E+01,,,,,,,
11,5.62E+01,6.80E+00,,,,,,,
12,1.06E+01,3.08E+01,,,,,,,
13,1.38E+01,1.10E+01,,,,,,,
14,8.87E+00,1.62E+01,,,,,,,
15,8.87E+00,1.05E+01,,,,,,,
16,9.77E-01,8.11E+01,,,,,,,
17,1.58E+01,4.89E+00,,,,,,,
18,2.49E+00,3.08E+01,,,,,,,
19,1.63E+01,4.60E+00,,,,,,,
20,5.42E+01,1.15E+00,,,,,,,
21,1.58E+01,3.12E+00,,,,,,,
22,4.29E+01,1.11E+00,,,,,,,
23,1.20E+00,3.93E+01,,,,,,,
24,1.41E+01,3.30E+00,,,,,,,
25,4.13E+00,1.10E+01,,,,,,,
26,1.45E+00,2.66E+01,,,,,,,
27,3.44E+01,1.11E+00,,,,,,,
28,5.05E+00,6.80E+00,,,,,,,
29,9.27E-01,3.59E+01,,,,,,,
30,1.41E+01,2.29E+00,,,,,,,
31,4.38E+00,6.80E+00,,,,,,,
32,4.01E+00,6.80E+00,,,,,,,
33,4.43E+01,6.14E-01,,,,,,,
34,1.45E+00,1.86E+01,,,,,,,
35,4.43E+01,5.93E-01,,,,,,,
36,2.27E+01,1.15E+00,,,,,,,
37,2.28E+01,1.11E+00,,,,,,,
38,2.69E+00,8.01E+00,,,,,,,
39,8.87E+00,2.43E+00,,,,,,,
40,7.04E+00,2.97E+00,,,,,,,
41,1.69E+01,1.21E+00,,,,,,,
42,1.63E+01,1.23E+00,,,,,,,
43,6.68E+00,2.97E+00,,,,,,,
44,1.58E+01,1.21E+00,,,,,,,
45,5.28E-01,3.59E+01,,,,,,,
46,1.57E+00,1.10E+01,,,,,,,
47,1.41E+01,1.21E+00,,,,,,,
48,1.63E+01,9.77E-01,,,,,,,
49,8.87E+00,1.69E+00,,,,,,,
50,4.78E+00,2.97E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
