Reference,Height,Width,Stripwidth,
1,4.96E+01,3.49E+01,100,
2,3.06E+01,3.49E+01,,
3,6.26E+01,1.50E+01,,
4,9.51E+01,6.00E+00,,
5,9.51E+01,3.66E+00,,
6,4.38E+01,7.80E+00,,
7,1.70E+01,1.50E+01,,
8,7.21E+00,3.49E+01,,
9,1.00E+02,2.34E+00,,
10,8.72E+01,2.48E+00,,
11,6.24E+01,3.47E+00,,
12,1.43E+01,1.50E+01,,
13,4.89E+00,3.77E+01,,
14,3.51E+01,5.00E+00,,
15,5.01E+01,3.28E+00,,
16,5.01E+01,3.10E+00,,
17,4.46E+00,3.49E+01,,
18,4.72E+01,2.80E+00,,
19,1.00E+02,1.19E+00,,
20,1.20E+01,9.02E+00,,
21,2.11E+01,5.00E+00,,
22,6.21E+01,1.21E+00,,
23,5.01E+01,1.45E+00,,
24,3.55E+00,1.77E+01,,
25,5.01E+01,1.18E+00,,
26,1.69E+00,3.49E+01,,
27,5.44E+01,1.06E+00,,
28,5.10E+01,1.12E+00,,
29,1.45E+01,2.96E+00,,
30,1.45E+01,2.88E+00,,
31,1.31E+01,3.18E+00,,
32,2.48E+01,1.59E+00,,
33,4.47E+00,8.31E+00,,
34,1.03E+01,3.57E+00,,
35,4.41E+01,8.33E-01,,
36,3.87E+00,9.02E+00,,
37,4.89E+00,7.13E+00,,
38,3.28E+01,1.06E+00,,
39,2.81E+01,1.23E+00,,
40,2.55E+01,1.36E+00,,
41,4.12E+00,8.31E+00,,
42,5.86E+00,5.84E+00,,
43,4.41E+01,7.56E-01,,
44,2.42E+01,1.34E+00,,
45,1.56E+00,2.02E+01,,
46,4.50E+00,6.99E+00,,
47,3.45E+00,9.02E+00,,
48,1.67E+01,1.84E+00,,
49,2.46E+01,1.23E+00,,
50,4.89E+00,5.97E+00,,
51,1.83E+01,1.59E+00,,
52,7.44E+00,3.87E+00,,
53,2.64E+01,1.09E+00,,
54,4.03E+01,7.00E-01,,
55,2.30E+01,1.21E+00,,
56,3.00E+00,9.02E+00,,
57,2.33E+01,1.12E+00,,
58,4.73E+01,5.44E-01,,
59,4.03E+01,6.36E-01,,
60,1.90E+01,1.34E+00,,
61,9.01E+00,2.80E+00,,
62,1.35E+01,1.84E+00,,
63,1.79E+01,1.34E+00,,
64,1.30E+01,1.84E+00,,
65,3.42E+00,6.99E+00,,
66,1.34E+00,1.77E+01,,
67,7.44E+00,3.12E+00,,
68,7.30E+00,3.18E+00,,
69,2.23E+01,1.03E+00,,
70,1.56E+00,1.47E+01,,
71,2.08E+01,1.09E+00,,
72,4.73E+01,4.80E-01,,
73,4.73E+01,4.75E-01,,
74,1.22E+01,1.84E+00,,
75,4.39E+01,4.96E-01,,
76,2.10E+01,1.03E+00,,
77,1.61E+01,1.34E+00,,
78,1.97E+01,1.07E+00,,
79,1.19E+01,1.77E+00,,
80,1.12E+01,1.84E+00,,
81,2.00E+01,1.03E+00,,
82,3.57E+01,5.74E-01,,
83,2.25E+00,9.02E+00,,
84,1.19E+01,1.70E+00,,
85,1.89E+01,1.07E+00,,
86,1.91E+01,1.03E+00,,
87,2.32E+01,8.44E-01,,
88,2.07E+01,9.21E-01,,
89,2.07E+01,9.19E-01,,
90,2.73E+01,6.91E-01,,
91,2.73E+01,6.66E-01,,
92,1.76E+01,1.03E+00,,
93,1.48E+01,1.21E+00,,
94,1.03E+01,1.72E+00,,
95,2.12E+00,8.31E+00,,
96,3.57E+01,4.93E-01,,
97,1.03E+01,1.70E+00,,
98,2.07E+01,8.44E-01,,
99,1.15E+00,1.50E+01,,
100,2.08E+00,8.31E+00,,
