Reference,Height,Width,Stripwidth,
1,7.89E+01,1.37E+01,100,
2,5.22E+01,1.87E+01,,
3,4.51E+01,1.36E+01,,
4,4.51E+01,1.30E+01,,
5,1.18E+01,4.47E+01,,
6,7.89E+01,4.82E+00,,
7,2.98E+01,1.19E+01,,
8,1.36E+01,2.42E+01,,
9,1.40E+01,1.87E+01,,
10,4.51E+01,5.56E+00,,
11,6.04E+01,3.94E+00,,
12,2.71E+01,8.49E+00,,
13,1.01E+01,1.97E+01,,
14,5.66E+01,3.49E+00,,
15,1.23E+01,1.55E+01,,
16,4.10E+00,4.47E+01,,
17,4.51E+01,3.71E+00,,
18,8.76E+00,1.74E+01,,
19,3.00E+01,4.72E+00,,
20,1.12E+01,1.17E+01,,
21,1.04E+01,1.11E+01,,
22,2.13E+01,5.24E+00,,
23,4.51E+01,2.47E+00,,
24,3.37E+00,2.88E+01,,
25,2.98E+01,3.07E+00,,
26,1.04E+01,7.64E+00,,
27,2.23E+01,3.49E+00,,
28,1.70E+01,4.47E+00,,
29,1.23E+01,5.98E+00,,
30,4.64E+00,1.51E+01,,
31,1.01E+01,6.66E+00,,
32,9.54E+00,7.05E+00,,
33,5.21E+00,1.24E+01,,
34,3.58E+00,1.74E+01,,
35,1.22E+01,4.46E+00,,
36,1.28E+01,4.19E+00,,
37,8.96E+00,5.98E+00,,
38,1.56E+00,3.28E+01,,
39,1.85E+01,2.61E+00,,
40,2.59E+00,1.67E+01,,
41,2.27E+00,1.87E+01,,
42,2.59E+00,1.61E+01,,
43,1.60E+01,2.40E+00,,
44,2.47E+00,1.51E+01,,
45,1.24E+01,2.93E+00,,
46,8.93E+00,4.05E+00,,
47,2.23E+00,1.51E+01,,
48,1.22E+01,2.74E+00,,
49,3.38E+01,9.32E-01,,
50,1.19E+00,2.64E+01,,
51,1.12E+01,2.69E+00,,
52,1.85E+00,1.62E+01,,
53,4.87E+00,5.98E+00,,
54,4.51E+01,6.42E-01,,
55,4.06E+00,7.05E+00,,
56,1.23E+01,2.29E+00,,
57,1.24E+01,2.27E+00,,
58,1.84E+00,1.51E+01,,
59,8.40E-01,3.28E+01,,
60,6.30E+00,4.37E+00,,
61,2.89E+00,8.85E+00,,
62,4.51E+01,5.63E-01,,
63,4.51E+01,5.55E-01,,
64,1.85E+01,1.33E+00,,
65,4.51E+01,5.17E-01,,
66,9.11E+00,2.40E+00,,
67,4.51E+01,4.83E-01,,
68,5.33E+00,4.05E+00,,
69,1.36E+01,1.56E+00,,
70,4.51E+01,4.52E-01,,
71,1.22E+01,1.65E+00,,
72,8.82E+00,2.29E+00,,
73,3.83E+00,5.24E+00,,
74,1.70E+01,1.18E+00,,
75,2.12E+01,9.32E-01,,
76,1.12E+01,1.74E+00,,
77,8.82E+00,2.08E+00,,
78,5.21E+00,3.51E+00,,
79,4.84E+00,3.77E+00,,
80,4.46E+00,4.05E+00,,
81,1.12E+01,1.59E+00,,
82,2.98E+01,5.76E-01,,
83,1.24E+01,1.29E+00,,
84,8.16E+00,1.88E+00,,
85,5.80E-01,2.64E+01,,
86,5.63E-01,2.64E+01,,
87,6.43E+00,2.29E+00,,
88,1.56E+00,8.49E+00,,
89,2.32E+01,5.49E-01,,
90,3.31E+00,3.77E+00,,
91,2.19E+01,5.49E-01,,
92,3.67E-01,3.28E+01,,
93,9.32E-01,1.26E+01,,
94,6.17E+00,1.90E+00,,
95,6.13E+00,1.90E+00,,
96,9.17E-01,1.26E+01,,
97,1.34E+00,8.49E+00,,
98,6.43E+00,1.76E+00,,
99,1.84E+00,5.98E+00,,
100,1.83E+00,5.98E+00,,
