Reference,Height,Width,StripHeight,
1,3.65E+01,6.20E+01,100,
2,6.07E+01,3.05E+01,,
3,4.23E+01,3.15E+01,,
4,8.53E+01,1.25E+01,,
5,9.14E+01,5.18E+00,,
6,8.53E+01,5.39E+00,,
7,1.84E+01,1.77E+01,,
8,8.63E+00,3.19E+01,,
9,8.53E+01,3.21E+00,,
10,5.35E+01,4.49E+00,,
11,1.84E+01,1.18E+01,,
12,2.85E+00,6.20E+01,,
13,3.78E+01,4.49E+00,,
14,6.03E+00,2.11E+01,,
15,5.78E+01,2.16E+00,,
16,5.26E+01,2.34E+00,,
17,4.22E+01,2.16E+00,,
18,5.49E+01,1.60E+00,,
19,1.67E+01,3.94E+00,,
20,4.75E+01,1.20E+00,,
21,4.39E+01,1.20E+00,,
22,2.84E+01,1.60E+00,,
23,1.90E+01,2.34E+00,,
24,1.84E+01,1.99E+00,,
25,1.17E+01,2.34E+00,,
