Reference,Height,Width,StripHeight,
1,6.43E+01,3.38E+01,100,
2,1.00E+02,1.77E+01,,
3,1.00E+02,1.13E+01,,
4,1.00E+02,1.01E+01,,
5,2.69E+01,3.38E+01,,
6,4.65E+01,1.50E+01,,
7,1.00E+02,4.81E+00,,
8,2.46E+01,1.36E+01,,
9,2.35E+01,1.36E+01,,
10,8.80E+00,3.62E+01,,
11,4.38E+01,2.35E+00,,
12,7.19E+01,1.23E+00,,
13,7.19E+01,1.15E+00,,
14,3.35E+01,2.35E+00,,
15,4.65E+01,1.46E+00,,
16,4.81E+01,1.36E+00,,
17,2.28E+01,2.35E+00,,
18,4.18E+01,1.15E+00,,
19,1.93E+01,2.38E+00,,
20,2.88E+00,1.50E+01,,
21,5.35E+01,7.77E-01,,
22,2.54E+00,1.50E+01,,
23,5.35E+01,6.84E-01,,
24,3.03E+01,1.15E+00,,
25,2.78E+01,1.15E+00,,
