Reference,Height,Width,StripHeight,,,,,,
1,5.04E+01,8.62E+01,100,,,,,,
2,1.56E+01,4.46E+01,,,,,,,
3,1.12E+01,5.29E+01,,,,,,,
4,6.74E+00,8.62E+01,,,,,,,
5,1.60E+01,3.41E+01,,,,,,,
6,5.10E+00,8.62E+01,,,,,,,
7,1.12E+01,3.32E+01,,,,,,,
8,9.41E+00,3.70E+01,,,,,,,
9,2.50E+01,1.26E+01,,,,,,,
10,9.01E+00,3.41E+01,,,,,,,
11,7.50E+01,3.00E+00,,,,,,,
12,7.50E+01,2.97E+00,,,,,,,
13,7.50E+01,2.54E+00,,,,,,,
14,7.50E+01,1.72E+00,,,,,,,
15,5.56E+01,1.60E+00,,,,,,,
16,2.50E+01,3.04E+00,,,,,,,
17,9.41E+00,7.58E+00,,,,,,,
18,4.44E+01,1.60E+00,,,,,,,
19,1.50E+00,4.54E+01,,,,,,,
20,1.50E+00,4.07E+01,,,,,,,
21,4.94E+01,1.11E+00,,,,,,,
22,2.50E+01,2.08E+00,,,,,,,
23,2.55E+01,2.00E+00,,,,,,,
24,2.50E+01,2.03E+00,,,,,,,
25,4.94E+01,8.88E-01,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
