Reference,Height,Width,StripHeight,
1,9.80E+01,2.96E+01,100,
2,5.46E+01,3.88E+01,,
3,2.23E+01,4.93E+01,,
4,1.41E+01,4.93E+01,,
5,7.37E+01,7.48E+00,,
6,5.46E+01,7.12E+00,,
7,7.51E+00,4.93E+01,,
8,1.00E+02,2.01E+00,,
9,2.43E+01,8.03E+00,,
10,1.90E+01,9.76E+00,,
11,5.46E+01,2.73E+00,,
12,3.12E+01,4.48E+00,,
13,1.00E+02,1.26E+00,,
14,3.12E+01,3.56E+00,,
15,4.28E+01,2.28E+00,,
16,1.39E+01,6.47E+00,,
17,1.32E+01,6.47E+00,,
18,1.04E+01,8.03E+00,,
19,1.55E+00,4.93E+01,,
20,7.31E+00,9.76E+00,,
21,3.09E+01,2.28E+00,,
22,2.01E+00,2.96E+01,,
23,6.92E+00,8.03E+00,,
24,2.71E+01,1.56E+00,,
25,5.46E+01,6.74E-01,,
