Reference,Height,Width,StripHeight,
1,1.00E+02,2.75E+01,100,
2,1.00E+02,2.12E+01,,
3,1.00E+02,2.01E+01,,
4,1.00E+02,1.26E+01,,
5,1.00E+02,5.06E+00,,
6,1.00E+02,1.83E+00,,
7,3.83E+01,3.40E+00,,
8,4.64E+01,2.35E+00,,
9,1.44E+01,6.59E+00,,
10,2.49E+01,3.58E+00,,
11,1.33E+01,6.59E+00,,
12,2.49E+01,3.01E+00,,
13,1.91E+01,3.74E+00,,
14,6.17E+01,1.06E+00,,
15,3.26E+01,1.71E+00,,
16,1.84E+01,2.98E+00,,
17,1.91E+01,2.85E+00,,
18,2.90E+01,1.71E+00,,
19,5.50E+00,6.59E+00,,
20,1.53E+01,2.35E+00,,
21,1.84E+01,1.93E+00,,
22,1.94E+01,1.71E+00,,
23,1.89E+01,1.71E+00,,
24,1.84E+01,1.68E+00,,
25,4.47E+00,6.59E+00,,
