Reference,Height,Width,StripHeight,
1,8.68E+01,1.81E+01,100,
2,4.77E+01,3.22E+01,,
3,2.61E+01,4.98E+01,,
4,1.75E+01,4.98E+01,,
5,2.40E+01,3.22E+01,,
6,2.04E+01,3.22E+01,,
7,9.96E+00,4.98E+01,,
8,8.52E+00,4.98E+01,,
9,9.79E+00,3.57E+01,,
10,8.51E+00,3.57E+01,,
11,2.33E+01,1.03E+01,,
12,7.90E+00,2.51E+01,,
13,7.90E+00,2.47E+01,,
14,1.17E+01,1.58E+01,,
15,5.49E+00,3.22E+01,,
16,6.69E+00,2.01E+01,,
17,3.61E+00,3.57E+01,,
18,1.44E+00,6.78E+01,,
19,6.69E+00,1.14E+01,,
20,2.35E+00,3.22E+01,,
21,5.29E+00,1.41E+01,,
22,2.33E+01,2.40E+00,,
23,2.33E+01,1.45E+00,,
24,6.69E+00,4.15E+00,,
25,1.17E+01,2.29E+00,,
