Reference,Height,Width,StripWidth,
1,2.61E+01,2.66E+01,100,
2,2.61E+01,2.29E+01,,
3,1.61E+01,3.40E+01,,
4,4.86E+01,9.78E+00,,
5,1.37E+01,3.40E+01,,
6,1.39E+01,3.10E+01,,
7,2.08E+01,1.55E+01,,
8,1.19E+01,2.64E+01,,
9,6.85E+00,4.07E+01,,
10,5.18E+01,5.34E+00,,
11,6.14E+01,3.48E+00,,
12,7.03E+01,2.89E+00,,
13,4.88E+01,3.97E+00,,
14,1.45E+01,1.17E+01,,
15,1.63E+01,9.19E+00,,
16,3.26E+00,4.37E+01,,
17,1.09E+01,1.13E+01,,
18,7.03E+01,1.73E+00,,
19,2.44E+01,4.76E+00,,
20,1.09E+01,1.05E+01,,
21,3.44E+01,2.77E+00,,
22,5.01E+01,1.83E+00,,
23,1.02E+01,8.17E+00,,
24,7.14E+01,1.16E+00,,
25,1.09E+01,7.19E+00,,
26,1.06E+01,7.37E+00,,
27,1.50E+00,4.95E+01,,
28,2.68E+00,2.64E+01,,
29,6.49E+00,1.06E+01,,
30,1.35E+00,4.80E+01,,
31,9.48E+00,6.73E+00,,
32,2.30E+01,2.77E+00,,
33,4.59E+01,1.33E+00,,
34,8.92E+00,6.73E+00,,
35,5.01E+01,1.17E+00,,
36,1.32E+01,3.81E+00,,
37,3.52E+01,1.41E+00,,
38,7.23E+00,6.73E+00,,
39,3.61E+01,1.16E+00,,
40,4.94E+00,8.45E+00,,
41,2.58E+00,1.55E+01,,
42,1.25E+01,3.13E+00,,
43,2.14E+01,1.80E+00,,
44,3.54E+01,1.06E+00,,
45,2.13E+01,1.74E+00,,
46,6.69E+00,5.34E+00,,
47,4.86E+01,6.81E-01,,
48,3.33E+01,9.84E-01,,
49,2.66E+01,1.21E+00,,
50,6.49E+00,4.94E+00,,
51,4.59E+01,6.58E-01,,
52,4.04E+01,7.48E-01,,
53,4.16E+00,7.07E+00,,
54,2.86E+01,1.03E+00,,
55,2.97E+00,9.64E+00,,
56,4.05E+00,6.94E+00,,
57,2.93E+01,9.14E-01,,
58,1.35E+01,1.98E+00,,
59,2.97E+00,8.87E+00,,
60,6.67E+00,3.95E+00,,
61,1.24E+01,2.04E+00,,
62,1.02E+01,2.48E+00,,
63,2.86E+01,8.67E-01,,
64,3.19E+01,7.69E-01,,
65,3.03E+01,8.00E-01,,
66,2.47E+00,9.78E+00,,
67,2.47E+00,9.78E+00,,
68,4.59E+01,5.19E-01,,
69,4.86E+01,4.88E-01,,
70,5.84E+00,4.02E+00,,
71,1.45E+01,1.62E+00,,
72,2.61E+01,8.91E-01,,
73,2.82E+01,8.19E-01,,
74,2.10E+00,1.09E+01,,
75,4.05E+00,5.63E+00,,
76,7.13E-01,3.13E+01,,
77,1.09E+01,2.04E+00,,
78,3.65E+01,6.03E-01,,
79,1.83E+01,1.20E+00,,
80,8.57E+00,2.56E+00,,
81,3.87E+00,5.64E+00,,
82,1.55E+01,1.41E+00,,
83,2.13E+01,1.02E+00,,
84,2.35E+00,9.19E+00,,
85,4.89E-01,4.37E+01,,
86,2.17E+00,9.77E+00,,
87,4.83E-01,4.37E+01,,
88,3.57E+01,5.75E-01,,
89,3.87E+00,5.23E+00,,
90,1.32E+01,1.52E+00,,
91,1.80E+01,1.11E+00,,
92,4.55E-01,4.37E+01,,
93,1.02E+01,1.93E+00,,
94,1.62E+01,1.21E+00,,
95,7.57E+00,2.59E+00,,
96,8.94E-01,2.19E+01,,
97,1.59E+01,1.22E+00,,
98,7.57E+00,2.54E+00,,
99,1.13E+01,1.69E+00,,
100,1.02E+01,1.83E+00,,
101,1.96E+01,9.55E-01,,
102,2.05E+01,8.91E-01,,
103,2.57E+00,7.07E+00,,
104,4.94E+00,3.67E+00,,
105,5.74E+00,3.13E+00,,
106,7.13E+00,2.51E+00,,
107,6.67E+00,2.65E+00,,
108,1.45E+01,1.21E+00,,
109,1.60E+00,1.09E+01,,
110,1.01E+01,1.69E+00,,
111,8.31E+00,2.04E+00,,
112,1.40E+01,1.21E+00,,
113,3.65E+01,4.64E-01,,
114,1.73E+00,9.77E+00,,
115,8.29E+00,1.98E+00,,
116,8.30E+00,1.97E+00,,
117,6.72E+00,2.40E+00,,
118,5.84E+00,2.71E+00,,
119,1.65E+01,9.55E-01,,
120,1.72E+01,9.14E-01,,
121,7.17E-01,2.19E+01,,
122,2.22E+00,7.07E+00,,
123,2.92E+00,5.34E+00,,
124,1.59E+00,9.77E+00,,
125,1.82E+01,8.54E-01,,
126,2.28E+00,6.73E+00,,
127,1.86E+01,8.16E-01,,
128,1.07E+01,1.41E+00,,
129,7.55E+00,1.97E+00,,
130,9.20E+00,1.62E+00,,
131,1.86E+01,7.97E-01,,
132,1.05E+01,1.41E+00,,
133,1.81E+01,8.19E-01,,
134,1.87E+01,7.82E-01,,
135,1.33E+01,1.10E+00,,
136,3.79E+00,3.81E+00,,
137,3.51E+01,4.07E-01,,
138,7.77E+00,1.83E+00,,
139,1.67E+01,8.47E-01,,
140,1.32E+01,1.06E+00,,
141,1.97E+00,7.07E+00,,
142,3.51E+01,3.93E-01,,
143,1.59E+01,8.69E-01,,
144,7.77E+00,1.77E+00,,
145,1.87E+01,7.35E-01,,
146,7.52E+00,1.77E+00,,
147,1.53E+01,8.47E-01,,
148,2.97E+00,4.30E+00,,
149,1.63E+01,7.70E-01,,
