Reference,Height,Width,StripHeight,
1,9.49E+01,3.29E+01,100,
2,9.49E+01,2.55E+01,,
3,9.49E+01,2.00E+01,,
4,5.96E+01,9.22E+00,,
5,5.11E+00,7.84E+01,,
6,5.96E+01,4.31E+00,,
7,6.88E+01,2.91E+00,,
8,7.36E+00,2.16E+01,,
9,5.84E+01,2.45E+00,,
10,5.84E+01,1.81E+00,,
11,9.91E+00,6.57E+00,,
12,3.01E+00,2.16E+01,,
13,2.82E+00,2.16E+01,,
14,7.39E+00,8.04E+00,,
15,1.05E+01,5.13E+00,,
16,3.86E+00,1.35E+01,,
17,2.38E+00,2.16E+01,,
18,6.38E+00,8.04E+00,,
19,5.84E+01,8.78E-01,,
20,4.93E+00,8.83E+00,,
21,9.20E+00,4.71E+00,,
22,1.84E+00,2.16E+01,,
23,4.27E+00,8.83E+00,,
24,5.03E+00,6.96E+00,,
25,4.88E+00,6.96E+00,,
