100	1.4284
200	1.4992
25	1.6787
500	1.60163
50	1.5596
100	1.45748
100	1.5076
200	1.56508
25	1.5083
50	1.5332
200	1.28033
100	1.65298
200	1.3291
25	1.3832
50	1.43087
25	1.5361
100	1.765474
200	1.77751
25	1.8516
50	1.7348
100	1.28027
200	1.27648
25	1.5926
50	1.46633
500	1.35041
50	1.3799
100	1.36156
200	1.47388
25	1.660859
50	1.70222
100	1.50301
200	1.41516
25	1.3054
50	1.4094
100	1.39441
200	1.40219
25	1.32984
50	1.33519
100	1.65894
200	1.50738
25	1.629
50	1.54445
100	1.5944
200	1.70699
25	1.4505
50	1.509
100	1.6054
200	1.59214
25	1.557
50	1.6695
100	1.47615
100	1.54463
200	1.61201
25	1.398
50	1.7851
200	1.52337
100	1.6234
200	1.7479
25	1.4899
50	1.5545
25	1.3458
100	1.50335
200	1.61656
25	1.5882
50	1.4372
100	1.88372
200	1.50958
25	1.9289
50	1.8802
500	1.41171
50	1.5367
100	1.52049
200	1.36456
25	1.6694
50	1.56676
100	1.46787
200	1.47369
25	1.4033
50	1.4013
100	1.31644
200	1.47083
25	1.34007
50	1.33927
100	1.47939
200	1.62687
25	1.1723
50	1.54055
100	1.72397
200	1.74598
25	1.5406
50	1.62829
100	1.6107
200	1.5804
25	1.463
50	1.37
100	1.7547
100	1.2167
200	1.20521
25	1.2817
50	1.3062
200	1.7021
100	1.64616
200	1.6345
25	1.495
50	1.6149
25	1.4552
100	1.6636
200	1.70926
25	1.8975
50	1.5604
100	1.4236
200	1.578
25	1.538
50	1.5246
500	1.49054
50	1.4762
100	1.25819
200	1.42851
25	1.3618
50	1.41252
100	1.66339
200	1.36305
25	1.7262
50	1.7896
100	1.6518
200	1.71504
25	1.5472
50	1.5082
100	1.63803
200	1.60852
25	1.8446
50	1.69403
100	1.85539
200	1.38428
25	1.89598
50	1.86659
100	1.4883
200	1.5154
25	1.526
50	1.6844
100	1.66753
100	1.6326
200	1.6169
25	1.249
50	1.603
200	1.70905
100	1.73022
200	1.58773
25	1.7355
50	1.7974
25	1.8239
100	1.4724
200	1.38672
25	1.268
50	1.5058
100	1.3718
200	1.35467
25	1.4442
50	1.8681
500	1.63389
50	1.63804
100	1.53589
200	1.58049
25	1.4416
50	1.4928
100	1.42667
200	1.44444
25	1.412
50	1.3706
100	1.41513
200	1.47019
25	1.40312
50	1.45977
100	1.46654
200	1.52143
25	1.7179
50	1.43987
100	1.72331
200	1.75386
25	1.7493
50	1.8182
100	1.64996
200	1.63085
25	1.6926
50	1.638
100	1.84359
200	1.28286
25	1.7212
500	1.30188
50	1.7967
100	1.4476
200	1.50026
25	1.63727
500	1.38013
50	1.59664
100	1.55023
200	1.57031
25	1.6581
500	1.62288
50	1.58343
100	1.76316
200	1.63175
25	1.7661
500	1.34869
50	1.7867
100	1.27063
200	1.27617
24	1.0879
500	1.32824
50	1.2635
